Country,Latitude,Longitude,Date,confirmed,recovered,Deaths,active_cases,new_cases,new_deaths
Germany,51.165690999999995,10.451526,2020-09-12,260817,231953,9352,28864,1082.0,4.0
Germany,51.165690999999995,10.451526,2020-09-13,261737,232541,9354,29196,920.0,2.0
Germany,51.165690999999995,10.451526,2020-09-14,263222,234017,9356,29205,1485.0,2.0
Germany,51.165690999999995,10.451526,2020-09-15,265014,235112,9367,29902,1792.0,11.0
Germany,51.165690999999995,10.451526,2020-09-16,266869,236623,9373,30246,1855.0,6.0
Germany,51.165690999999995,10.451526,2020-09-17,269048,238437,9376,30611,2179.0,3.0
Germany,51.165690999999995,10.451526,2020-09-18,271247,239654,9386,31593,2199.0,10.0
Germany,51.165690999999995,10.451526,2020-09-19,272932,240510,9388,32422,1685.0,2.0
Germany,51.165690999999995,10.451526,2020-09-20,273965,241192,9390,32773,1033.0,2.0
Germany,51.165690999999995,10.451526,2020-09-21,275560,242656,9390,32904,1595.0,0.0
Germany,51.165690999999995,10.451526,2020-09-22,277412,244693,9405,32719,1852.0,15.0
Germany,51.165690999999995,10.451526,2020-09-23,279025,245706,9423,33319,1613.0,18.0
Germany,51.165690999999995,10.451526,2020-09-24,281346,247766,9436,33580,2321.0,13.0
Germany,51.165690999999995,10.451526,2020-09-25,283712,249164,9451,34548,2366.0,15.0
Germany,51.165690999999995,10.451526,2020-09-26,285026,250104,9459,34922,1314.0,8.0
Germany,51.165690999999995,10.451526,2020-09-27,286339,250866,9464,35473,1313.0,5.0
Germany,51.165690999999995,10.451526,2020-09-28,288631,252693,9468,35938,2292.0,4.0
Germany,51.165690999999995,10.451526,2020-09-29,290471,255212,9483,35259,1840.0,15.0
Germany,51.165690999999995,10.451526,2020-09-30,292913,256861,9495,36052,2442.0,12.0
Germany,51.165690999999995,10.451526,2020-10-01,295539,258220,9509,37319,2626.0,14.0
Germany,51.165690999999995,10.451526,2020-10-02,298374,259722,9518,38652,2835.0,9.0
Germany,51.165690999999995,10.451526,2020-10-03,300027,260916,9531,39111,1653.0,13.0
Germany,51.165690999999995,10.451526,2020-10-04,301573,262002,9533,39571,1546.0,2.0
Germany,51.165690999999995,10.451526,2020-10-05,304673,265624,9554,39049,3100.0,21.0
Germany,51.165690999999995,10.451526,2020-10-06,307127,267747,9566,39380,2454.0,12.0
Germany,51.165690999999995,10.451526,2020-10-07,311137,269722,9582,41415,4010.0,16.0
Germany,51.165690999999995,10.451526,2020-10-08,315941,271960,9594,43981,4804.0,12.0
Germany,51.165690999999995,10.451526,2020-10-09,320495,273718,9599,46777,4554.0,5.0
Germany,51.165690999999995,10.451526,2020-10-10,323463,274934,9620,48529,2968.0,21.0
Germany,51.165690999999995,10.451526,2020-10-11,326309,276983,9626,49326,2846.0,6.0
Germany,51.165690999999995,10.451526,2020-10-12,332850,278391,9640,54459,6541.0,14.0
Germany,51.165690999999995,10.451526,2020-10-13,337314,280533,9682,56781,4464.0,42.0
Germany,51.165690999999995,10.451526,2020-10-14,344487,283656,9716,60831,7173.0,34.0
Germany,51.165690999999995,10.451526,2020-10-15,352107,286137,9739,65970,7620.0,23.0
Germany,51.165690999999995,10.451526,2020-10-16,359802,289027,9773,70775,7695.0,34.0
Germany,51.165690999999995,10.451526,2020-10-17,364664,291129,9785,73535,4862.0,12.0
Germany,51.165690999999995,10.451526,2020-10-18,368671,293447,9798,75224,4007.0,13.0
Germany,51.165690999999995,10.451526,2020-10-19,377068,296672,9842,80396,8397.0,44.0
Germany,51.165690999999995,10.451526,2020-10-20,385591,299743,9882,85848,8523.0,40.0
Germany,51.165690999999995,10.451526,2020-10-21,397922,304173,9911,93749,12331.0,29.0
Germany,51.165690999999995,10.451526,2020-10-22,403874,308779,9960,95095,5952.0,49.0
Germany,51.165690999999995,10.451526,2020-10-23,417350,312347,9978,105003,13476.0,18.0
Germany,51.165690999999995,10.451526,2020-10-24,427808,316124,10035,111684,10458.0,57.0
Germany,51.165690999999995,10.451526,2020-10-25,437698,320004,10062,117694,9890.0,27.0
Germany,51.165690999999995,10.451526,2020-10-26,450258,325052,10091,125206,12560.0,29.0
Germany,51.165690999999995,10.451526,2020-10-27,463419,327697,10121,135722,13161.0,30.0
Germany,51.165690999999995,10.451526,2020-10-28,479621,336764,10218,142857,16202.0,97.0
Germany,51.165690999999995,10.451526,2020-10-29,498354,340436,10305,157918,18733.0,87.0
Germany,51.165690999999995,10.451526,2020-10-30,517736,351921,10391,165815,19382.0,86.0
Germany,51.165690999999995,10.451526,2020-10-31,531790,356410,10483,175380,14054.0,92.0
Germany,51.165690999999995,10.451526,2020-11-01,544346,363545,10513,180801,12556.0,30.0
Germany,51.165690999999995,10.451526,2020-11-02,569598,372499,10669,197099,25252.0,156.0
Germany,51.165690999999995,10.451526,2020-11-03,577131,373391,10717,203740,7533.0,48.0
Germany,51.165690999999995,10.451526,2020-11-04,608611,384012,10949,224599,31480.0,232.0
Germany,51.165690999999995,10.451526,2020-11-05,631172,394616,11110,236556,22561.0,161.0
Germany,51.165690999999995,10.451526,2020-11-06,653992,405809,11240,248183,22820.0,130.0
Germany,51.165690999999995,10.451526,2020-11-07,668114,413484,11306,254630,14122.0,66.0
Germany,51.165690999999995,10.451526,2020-11-08,682624,421151,11372,261473,14510.0,66.0
Germany,51.165690999999995,10.451526,2020-11-09,689146,443621,11408,245525,6522.0,36.0
